violation_description;fine_min;fine_max;subject_type;law_reference;
Vượt xe tại nơi có biển báo cấm vượt;300000;500000;Xe đạp điện;"Điểm f, Khoản 2, Điều 12 Nghị định 123/2021/NĐ-CP";
Nồng độ cồn trong máu hoặc hơi thở vượt quá quy định nhưng chưa tới mức 50 miligam/100 mililít máu;2200000;2800000;Xe máy;"Điểm l, Khoản 2, Điều 12 Nghị định 100/2019/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;3400000;4000000;Xe máy;"Điểm c, Khoản 6, Điều 7 Nghị định 100/2019/NĐ-CP";
Không nhường đường cho xe ưu tiên;11000000;15000000;Ô tô;"Điểm a, Khoản 3, Điều 9 Nghị định 100/2019/NĐ-CP";
"Dừng xe, đỗ xe tại nơi có biển cấm dừng, cấm đỗ";3000000;3800000;Xe máy;"Điểm e, Khoản 6, Điều 11 Nghị định 123/2021/NĐ-CP";
Không chấp hành hiệu lệnh của vạch kẻ đường;300000;700000;Xe đạp điện;"Điểm f, Khoản 10, Điều 6 Nghị định 123/2021/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;5000000;7000000;Ô tô;"Điểm f, Khoản 6, Điều 11 Nghị định 123/2021/NĐ-CP";
Không có Giấy đăng ký xe;5800000;6200000;Xe máy;"Điểm k, Khoản 3, Điều 6 Nghị định 123/2021/NĐ-CP";
Điều khiển xe chạy quá tốc độ quy định từ 5 km/h đến 35 km/h;2000000;2800000;Xe máy;"Điểm h, Khoản 10, Điều 7 Nghị định 123/2021/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;3000000;6000000;Ô tô;"Điểm b, Khoản 1, Điều 7 Nghị định 123/2021/NĐ-CP";
Không có Giấy đăng ký xe;4000000;7000000;Ô tô;"Điểm k, Khoản 1, Điều 10 Nghị định 100/2019/NĐ-CP";
Không nhường đường cho xe ưu tiên;5000000;7000000;Ô tô;"Điểm l, Khoản 8, Điều 7 Nghị định 100/2019/NĐ-CP";
Không có Giấy đăng ký xe;9000000;11000000;Ô tô;"Điểm d, Khoản 5, Điều 10 Nghị định 123/2021/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;5800000;6000000;Xe máy;"Điểm d, Khoản 10, Điều 9 Nghị định 100/2019/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;400000;800000;Xe đạp điện;"Điểm l, Khoản 10, Điều 6 Nghị định 100/2019/NĐ-CP";
"Đi vào đường cấm, khu vực cấm";4200000;5000000;Xe máy;"Điểm m, Khoản 1, Điều 10 Nghị định 100/2019/NĐ-CP";
Không nhường đường cho xe ưu tiên;300000;500000;Xe đạp điện;"Điểm f, Khoản 8, Điều 11 Nghị định 123/2021/NĐ-CP";
"Nồng độ cồn trong máu hoặc hơi thở vượt quá quy định nhưng chưa tới mức 0,25 miligam/1 lít khí thở";200000;600000;Xe đạp điện;"Điểm n, Khoản 9, Điều 11 Nghị định 123/2021/NĐ-CP";
Không nhường đường cho xe ưu tiên;5600000;6000000;Xe máy;"Điểm f, Khoản 9, Điều 11 Nghị định 100/2019/NĐ-CP";
Sử dụng điện thoại di động khi đang điều khiển xe;100000;200000;Xe đạp điện;"Điểm i, Khoản 7, Điều 11 Nghị định 100/2019/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;300000;400000;Xe đạp điện;"Điểm a, Khoản 1, Điều 7 Nghị định 123/2021/NĐ-CP";
Chở quá số người quy định;4000000;4600000;Xe máy;"Điểm e, Khoản 8, Điều 10 Nghị định 100/2019/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;5200000;6000000;Xe máy;"Điểm a, Khoản 7, Điều 6 Nghị định 100/2019/NĐ-CP";
"Dừng xe, đỗ xe tại nơi có biển cấm dừng, cấm đỗ";6000000;8000000;Ô tô;"Điểm e, Khoản 8, Điều 9 Nghị định 123/2021/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;7000000;10000000;Ô tô;"Điểm g, Khoản 9, Điều 6 Nghị định 100/2019/NĐ-CP";
Sử dụng điện thoại di động khi đang điều khiển xe;7000000;10000000;Ô tô;"Điểm g, Khoản 8, Điều 9 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;400000;600000;Xe máy;"Điểm f, Khoản 2, Điều 5 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;500000;800000;Xe đạp điện;"Điểm i, Khoản 7, Điều 9 Nghị định 123/2021/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;400000;600000;Xe máy;"Điểm d, Khoản 5, Điều 12 Nghị định 123/2021/NĐ-CP";
Không có Giấy đăng ký xe;10000000;13000000;Ô tô;"Điểm b, Khoản 6, Điều 10 Nghị định 100/2019/NĐ-CP";
Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h;6000000;10000000;Ô tô;"Điểm i, Khoản 4, Điều 8 Nghị định 123/2021/NĐ-CP";
Chở quá số người quy định;4800000;5000000;Xe máy;"Điểm f, Khoản 9, Điều 10 Nghị định 123/2021/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;6000000;10000000;Ô tô;"Điểm m, Khoản 8, Điều 5 Nghị định 123/2021/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;200000;500000;Xe đạp điện;"Điểm b, Khoản 5, Điều 10 Nghị định 100/2019/NĐ-CP";
Không chấp hành hiệu lệnh của đèn tín hiệu giao thông;5000000;8000000;Ô tô;"Điểm d, Khoản 4, Điều 12 Nghị định 100/2019/NĐ-CP";
Sử dụng điện thoại di động khi đang điều khiển xe;8000000;11000000;Ô tô;"Điểm c, Khoản 5, Điều 12 Nghị định 100/2019/NĐ-CP";
Không nhường đường cho xe ưu tiên;6000000;9000000;Ô tô;"Điểm b, Khoản 5, Điều 11 Nghị định 123/2021/NĐ-CP";
Không nhường đường cho xe ưu tiên;2000000;4000000;Ô tô;"Điểm e, Khoản 1, Điều 5 Nghị định 123/2021/NĐ-CP";
Không nhường đường cho xe ưu tiên;500000;700000;Xe đạp điện;"Điểm k, Khoản 10, Điều 10 Nghị định 123/2021/NĐ-CP";
Chở quá số người quy định;3000000;5000000;Ô tô;"Điểm f, Khoản 1, Điều 12 Nghị định 100/2019/NĐ-CP";
"Dừng xe, đỗ xe tại nơi có biển cấm dừng, cấm đỗ";8000000;11000000;Ô tô;"Điểm l, Khoản 7, Điều 10 Nghị định 123/2021/NĐ-CP";
Sử dụng điện thoại di động khi đang điều khiển xe;200000;300000;Xe đạp điện;"Điểm f, Khoản 1, Điều 8 Nghị định 123/2021/NĐ-CP";
Không nhường đường cho xe ưu tiên;4200000;4800000;Xe máy;"Điểm b, Khoản 10, Điều 8 Nghị định 123/2021/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;3000000;7000000;Ô tô;"Điểm b, Khoản 4, Điều 5 Nghị định 100/2019/NĐ-CP";
Không nhường đường cho xe ưu tiên;4200000;5000000;Xe máy;"Điểm g, Khoản 3, Điều 10 Nghị định 100/2019/NĐ-CP";
Không chấp hành hiệu lệnh của vạch kẻ đường;100000;400000;Xe đạp điện;"Điểm a, Khoản 7, Điều 5 Nghị định 100/2019/NĐ-CP";
Chở quá số người quy định;3000000;4000000;Ô tô;"Điểm e, Khoản 8, Điều 8 Nghị định 123/2021/NĐ-CP";
Không có Giấy đăng ký xe;500000;800000;Xe đạp điện;"Điểm n, Khoản 4, Điều 11 Nghị định 123/2021/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;5800000;6200000;Xe máy;"Điểm i, Khoản 9, Điều 5 Nghị định 123/2021/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;800000;1200000;Xe máy;"Điểm m, Khoản 7, Điều 11 Nghị định 100/2019/NĐ-CP";
Không chấp hành hiệu lệnh của vạch kẻ đường;500000;900000;Xe đạp điện;"Điểm e, Khoản 6, Điều 10 Nghị định 100/2019/NĐ-CP";
Nồng độ cồn trong máu hoặc hơi thở vượt quá quy định nhưng chưa tới mức 50 miligam/100 mililít máu;2400000;3200000;Xe máy;"Điểm m, Khoản 1, Điều 11 Nghị định 123/2021/NĐ-CP";
Không nhường đường cho xe ưu tiên;200000;600000;Xe đạp điện;"Điểm m, Khoản 4, Điều 9 Nghị định 123/2021/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;1600000;2200000;Xe máy;"Điểm i, Khoản 5, Điều 11 Nghị định 123/2021/NĐ-CP";
Không có Giấy phép lái xe;3800000;4400000;Xe máy;"Điểm k, Khoản 1, Điều 7 Nghị định 100/2019/NĐ-CP";
Chở quá số người quy định;2600000;3400000;Xe máy;"Điểm l, Khoản 2, Điều 8 Nghị định 100/2019/NĐ-CP";
Không có Giấy đăng ký xe;4000000;5000000;Ô tô;"Điểm n, Khoản 5, Điều 6 Nghị định 123/2021/NĐ-CP";
"Nồng độ cồn trong máu hoặc hơi thở vượt quá quy định nhưng chưa tới mức 0,25 miligam/1 lít khí thở";2000000;2800000;Xe máy;"Điểm l, Khoản 1, Điều 6 Nghị định 123/2021/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;200000;400000;Xe đạp điện;"Điểm m, Khoản 5, Điều 6 Nghị định 123/2021/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;2000000;3000000;Ô tô;"Điểm h, Khoản 6, Điều 12 Nghị định 123/2021/NĐ-CP";
Không có Giấy phép lái xe;200000;600000;Xe đạp điện;"Điểm a, Khoản 6, Điều 6 Nghị định 123/2021/NĐ-CP";
Không nhường đường cho xe ưu tiên;600000;1200000;Xe máy;"Điểm l, Khoản 3, Điều 5 Nghị định 100/2019/NĐ-CP";
"Nồng độ cồn trong máu hoặc hơi thở vượt quá quy định nhưng chưa tới mức 0,25 miligam/1 lít khí thở";4000000;7000000;Ô tô;"Điểm c, Khoản 8, Điều 7 Nghị định 123/2021/NĐ-CP";
Nồng độ cồn trong máu hoặc hơi thở vượt quá quy định nhưng chưa tới mức 50 miligam/100 mililít máu;4000000;7000000;Ô tô;"Điểm a, Khoản 1, Điều 12 Nghị định 100/2019/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;100000;500000;Xe đạp điện;"Điểm c, Khoản 9, Điều 12 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;2000000;5000000;Ô tô;"Điểm n, Khoản 10, Điều 6 Nghị định 100/2019/NĐ-CP";
"Đi vào đường cấm, khu vực cấm";400000;1200000;Xe máy;"Điểm b, Khoản 6, Điều 10 Nghị định 123/2021/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;2600000;3200000;Xe máy;"Điểm a, Khoản 3, Điều 9 Nghị định 123/2021/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;11000000;15000000;Ô tô;"Điểm e, Khoản 4, Điều 6 Nghị định 123/2021/NĐ-CP";
"Đi vào đường cấm, khu vực cấm";100000;500000;Xe đạp điện;"Điểm a, Khoản 8, Điều 11 Nghị định 123/2021/NĐ-CP";
"Dừng xe, đỗ xe tại nơi có biển cấm dừng, cấm đỗ";300000;700000;Xe đạp điện;"Điểm m, Khoản 4, Điều 7 Nghị định 123/2021/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;200000;300000;Xe đạp điện;"Điểm m, Khoản 7, Điều 5 Nghị định 100/2019/NĐ-CP";
Không chấp hành hiệu lệnh của vạch kẻ đường;200000;300000;Xe đạp điện;"Điểm h, Khoản 4, Điều 6 Nghị định 123/2021/NĐ-CP";
"Đi vào đường cấm, khu vực cấm";5200000;5600000;Xe máy;"Điểm f, Khoản 10, Điều 10 Nghị định 100/2019/NĐ-CP";
Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 35 km/h;5600000;6000000;Xe máy;"Điểm c, Khoản 8, Điều 11 Nghị định 100/2019/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;8000000;11000000;Ô tô;"Điểm m, Khoản 5, Điều 9 Nghị định 100/2019/NĐ-CP";
Không có Giấy phép lái xe;100000;200000;Xe đạp điện;"Điểm h, Khoản 3, Điều 11 Nghị định 123/2021/NĐ-CP";
Không có Giấy phép lái xe;3000000;6000000;Ô tô;"Điểm n, Khoản 5, Điều 7 Nghị định 100/2019/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;3000000;4000000;Ô tô;"Điểm l, Khoản 6, Điều 12 Nghị định 100/2019/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;200000;500000;Xe đạp điện;"Điểm f, Khoản 10, Điều 11 Nghị định 100/2019/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;10000000;12000000;Ô tô;"Điểm e, Khoản 8, Điều 12 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;500000;900000;Xe đạp điện;"Điểm l, Khoản 8, Điều 5 Nghị định 100/2019/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;10000000;11000000;Ô tô;"Điểm m, Khoản 2, Điều 6 Nghị định 100/2019/NĐ-CP";
Không có Giấy phép lái xe;8000000;11000000;Ô tô;"Điểm c, Khoản 1, Điều 8 Nghị định 100/2019/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;500000;800000;Xe đạp điện;"Điểm c, Khoản 2, Điều 8 Nghị định 123/2021/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;2800000;3000000;Xe máy;"Điểm f, Khoản 3, Điều 10 Nghị định 123/2021/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;200000;400000;Xe đạp điện;"Điểm m, Khoản 4, Điều 7 Nghị định 100/2019/NĐ-CP";
"Dừng xe, đỗ xe tại nơi có biển cấm dừng, cấm đỗ";200000;400000;Xe đạp điện;"Điểm b, Khoản 3, Điều 9 Nghị định 100/2019/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;1600000;1800000;Xe máy;"Điểm f, Khoản 10, Điều 12 Nghị định 100/2019/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;1000000;1800000;Xe máy;"Điểm a, Khoản 8, Điều 11 Nghị định 123/2021/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;300000;700000;Xe đạp điện;"Điểm a, Khoản 5, Điều 12 Nghị định 123/2021/NĐ-CP";
Không có Giấy đăng ký xe;10000000;11000000;Ô tô;"Điểm n, Khoản 1, Điều 10 Nghị định 123/2021/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;4000000;8000000;Ô tô;"Điểm d, Khoản 6, Điều 7 Nghị định 100/2019/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;400000;1200000;Xe máy;"Điểm b, Khoản 2, Điều 7 Nghị định 100/2019/NĐ-CP";
Nồng độ cồn trong máu hoặc hơi thở vượt quá quy định nhưng chưa tới mức 50 miligam/100 mililít máu;10000000;13000000;Ô tô;"Điểm b, Khoản 4, Điều 6 Nghị định 123/2021/NĐ-CP";
Không chấp hành hiệu lệnh của đèn tín hiệu giao thông;10000000;11000000;Ô tô;"Điểm i, Khoản 6, Điều 10 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;3400000;3600000;Xe máy;"Điểm d, Khoản 3, Điều 8 Nghị định 123/2021/NĐ-CP";
Không nhường đường cho xe ưu tiên;1200000;1600000;Xe máy;"Điểm k, Khoản 8, Điều 10 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;11000000;12000000;Ô tô;"Điểm a, Khoản 8, Điều 5 Nghị định 123/2021/NĐ-CP";
Không nhường đường cho xe ưu tiên;5600000;6000000;Xe máy;"Điểm f, Khoản 6, Điều 11 Nghị định 100/2019/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;200000;1000000;Xe máy;"Điểm i, Khoản 2, Điều 8 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;4000000;7000000;Ô tô;"Điểm h, Khoản 10, Điều 6 Nghị định 123/2021/NĐ-CP";
Sử dụng điện thoại di động khi đang điều khiển xe;3400000;4000000;Xe máy;"Điểm n, Khoản 6, Điều 6 Nghị định 123/2021/NĐ-CP";
Sử dụng điện thoại di động khi đang điều khiển xe;100000;500000;Xe đạp điện;"Điểm f, Khoản 4, Điều 10 Nghị định 100/2019/NĐ-CP";
Không chấp hành hiệu lệnh của biển báo hiệu;200000;300000;Xe đạp điện;"Điểm h, Khoản 8, Điều 7 Nghị định 123/2021/NĐ-CP";
Sử dụng điện thoại di động khi đang điều khiển xe;11000000;14000000;Ô tô;"Điểm a, Khoản 2, Điều 10 Nghị định 123/2021/NĐ-CP";
Không có Giấy đăng ký xe;200000;600000;Xe đạp điện;"Điểm a, Khoản 4, Điều 5 Nghị định 123/2021/NĐ-CP";
"Dừng xe, đỗ xe tại nơi có biển cấm dừng, cấm đỗ";9000000;11000000;Ô tô;"Điểm a, Khoản 6, Điều 11 Nghị định 100/2019/NĐ-CP";
"Đi vào đường cấm, khu vực cấm";2400000;3000000;Xe máy;"Điểm e, Khoản 7, Điều 9 Nghị định 123/2021/NĐ-CP";
Không chấp hành hiệu lệnh của biển báo hiệu;9000000;10000000;Ô tô;"Điểm d, Khoản 6, Điều 7 Nghị định 123/2021/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;800000;1000000;Xe máy;"Điểm m, Khoản 7, Điều 7 Nghị định 100/2019/NĐ-CP";
Không có Giấy đăng ký xe;7000000;11000000;Ô tô;"Điểm a, Khoản 2, Điều 7 Nghị định 100/2019/NĐ-CP";
Đi không đúng phần đường hoặc làn đường quy định;300000;700000;Xe đạp điện;"Điểm n, Khoản 8, Điều 6 Nghị định 100/2019/NĐ-CP";
Không chấp hành hiệu lệnh của đèn tín hiệu giao thông;1800000;2600000;Xe máy;"Điểm m, Khoản 3, Điều 7 Nghị định 100/2019/NĐ-CP";
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;400000;700000;Xe đạp điện;"Điểm g, Khoản 8, Điều 7 Nghị định 100/2019/NĐ-CP";
Vượt xe tại nơi có biển báo cấm vượt;5000000;8000000;Ô tô;"Điểm m, Khoản 10, Điều 9 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;400000;700000;Xe đạp điện;"Điểm g, Khoản 10, Điều 9 Nghị định 100/2019/NĐ-CP";
Nồng độ cồn trong máu hoặc hơi thở vượt quá quy định nhưng chưa tới mức 50 miligam/100 mililít máu;3000000;4000000;Ô tô;"Điểm i, Khoản 1, Điều 12 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;800000;1000000;Xe máy;"Điểm n, Khoản 3, Điều 12 Nghị định 100/2019/NĐ-CP";
Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 10 km/h;100000;400000;Xe đạp điện;"Điểm g, Khoản 2, Điều 7 Nghị định 123/2021/NĐ-CP";
